authon,"Exercise","Exercise Type","Major Muscle","Minor Muscle","Notes","Modifications","06.gif"
piotr,"Step-Back Lunge","Weight","Legs","Glutes","","","bikini_prep_full_glute_training_routine_quest_cake_recipe_training_vlog.gif"
piotr,"Straightup Situp","Weight","Core","","","","30-best-ab-exercises-straight-leg-barbell-situp.jpg"
piotr,"Sumo Squat","Weight","Legs","Inner Thigh","Bar" 35LB. You want your legs to be just wide enough that your knees still track over your toes","","a7a48b0ff2d2b6b10e086290b1fede92.gif"
piotr,"Superman","Weight","Back","","","Easier: alternate lifting. Lift your arms from the ground first, then your legs from the ground.","13a573f1_Superman.jpg"
piotr,"Thruster","Weight","Full Body","","","","show_img_Landmine-thrusters-full-body-compound-exercise.jpg"
piotr,"Touchdown","Plyo","Full Body","","","","WtFJBce.gif"
piotr,"Tricep Dip","Weight","Arms","Tricep","Find a chair or platform you can lean on.","Easier: Legs bent closer to body Harder: Legs straight farther from body","Tricep-Dip-on-Bench-g.gif"
piotr,"Tricep Kick-Back","Weight","Arms","Tricep","","","Triceps-Kickback.jpg"
piotr,"Tricep Overhead Press","Weight","Arms","Tricep","","","5.gif"
piotr,"Tricep Pull Down","Weight","Arms","Tricep","Keep your knees slightly bent as you do this","","how-to-do-teh-cable-pull-down.gif"
piotr,"TRX Mountain Climber","Weight","Core","","","","TRX-mountain-climbers.gif"
piotr,"TRX Plank","Weight","Core","","","","72813ed1a4b64cbc2d206a512f0b93c2.jpeg"
piotr,"TRX Row","Weight","Back","","","","low-row-43122676__resized.jpg"
piotr,"Tuck Jump","Plyo","Full Body","","","","Tuck-Jumps.gif"
piotr,"Twisted Mountain Climbers","Cardio","Full Body","Oblique","","","mountain-climbers-gif-3.gif"
piotr,"V-Pass","Weight","Core","","","","bb_stability-ball_v-up1.gif"
piotr,"Wall Ball","Cardio","Full Body","","Toss the Medicine Ball in the air, or against a solid wall (concrete or brick) if available.","Easier: use a non-weighted football, basketball etc.","WallBallToss.gif"
piotr,"Weighted Jumping Jacks","Cardio","Full Body","","","Easier: Step out instead of jumping","eec0a59a6eacdc9cfd19a13290516684.jpg"
piotr,"Weighted Machine Situp","Weight","Core","","","","b16a06f1-f9cd-4721-b760-292fb1a119d8.gif"
piotr,"Weighted Punches","Cardio","Core","","","Easier: Punch without weights","cross-punch-exercise-illustration.gif"
piotr,"Deadbug","Weight","Core","","Really good if you have lower back pain and want to do an ab workout","","exAX6p.gif"
